conversationTitle,tapeNumber,conversationNumber,identifier,startDateTime,endDateTime,startDate,startTime,endDate,endTime,dateCertainty,timeCertainty,participants,description,locationCode,recordingDevice,latitudeEstimated,longitudeEstimated,collection,collectionURL,chronCode,chronRelease,chronReleaseDate,aogpRelease,aogpSegment,digitalAccess,physicalAccess,contactEmail,lastModified
Conversation 045-115,45,115,37-wht-conversation-045-115,1973-05-01T19:15:00-04:00,1973-05-01T19:15:00-04:00,1-May-1973,7:15 PM,1-May-1973,7:15 PM,certain,certain,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at 7:15 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-115 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-116,45,116,37-wht-conversation-045-116,1973-05-01T19:15:00-04:00,1973-05-01T19:19:00-04:00,1-May-1973,7:15 PM,1-May-1973,7:19 PM,certain,estimated,"White House operator; Nixon, Richard M. (President);","On May 1, 1973, White House operator and President Richard M. Nixon talked on the telephone at an unknown time between 7:15 pm and 7:19 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-116 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-117,45,117,37-wht-conversation-045-117,1973-05-01T19:15:00-04:00,1973-05-01T19:19:00-04:00,1-May-1973,7:15 PM,1-May-1973,7:19 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 7:15 pm and 7:19 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-117 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-118,45,118,37-wht-conversation-045-118,1973-05-01T19:15:00-04:00,1973-05-01T19:19:00-04:00,1-May-1973,7:15 PM,1-May-1973,7:19 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 7:15 pm and 7:19 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-118 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-119,45,119,37-wht-conversation-045-119,1973-05-01T19:19:00-04:00,1973-05-01T19:22:00-04:00,1-May-1973,7:19 PM,1-May-1973,7:22 PM,certain,certain,"Nixon, Richard M. (President); Rogers, William P.;","On May 1, 1973, President Richard M. Nixon and William P. Rogers talked on the telephone from 7:19 pm to 7:22 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-119 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-120,45,120,37-wht-conversation-045-120,1973-05-01T19:22:00-04:00,1973-05-01T19:24:00-04:00,1-May-1973,7:22 PM,1-May-1973,7:24 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 7:22 pm and 7:24 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-120 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-121,45,121,37-wht-conversation-045-121,1973-05-01T19:24:00-04:00,1973-05-01T19:32:00-04:00,1-May-1973,7:24 PM,1-May-1973,7:32 PM,certain,certain,"Nixon, Richard M. (President); Richardson, Elliot L.;","On May 1, 1973, President Richard M. Nixon and Elliot L. Richardson talked on the telephone from 7:24 pm to 7:32 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-121 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-122,45,122,37-wht-conversation-045-122,1973-05-01T23:16:00-04:00,1973-05-01T23:24:00-04:00,1-May-1973,11:16 PM,1-May-1973,11:24 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 11:16 pm and 11:24 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-122 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-123,45,123,37-wht-conversation-045-123,1973-05-01T23:24:00-04:00,1973-05-01T23:30:00-04:00,1-May-1973,11:24 PM,1-May-1973,11:30 PM,certain,certain,"Nixon, Richard M. (President); Ziegler, Ronald L.;","On May 1, 1973, President Richard M. Nixon and Ronald L. Ziegler talked on the telephone from 11:24 pm to 11:30 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-123 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-124,45,124,37-wht-conversation-045-124,1973-05-01T23:30:00-04:00,1973-05-01T23:34:00-04:00,1-May-1973,11:30 PM,1-May-1973,11:34 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 11:30 pm and 11:34 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-124 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-125,45,125,37-wht-conversation-045-125,1973-05-01T23:34:00-04:00,1973-05-01T23:34:00-04:00,1-May-1973,11:34 PM,1-May-1973,11:34 PM,certain,certain,"White House operator; Nixon, Richard M. (President);","On May 1, 1973, White House operator and President Richard M. Nixon talked on the telephone at 11:34 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-125 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-126,45,126,37-wht-conversation-045-126,1973-05-01T23:35:00-04:00,1973-05-01T23:36:00-04:00,1-May-1973,11:35 PM,1-May-1973,11:36 PM,certain,certain,"Nixon, Richard M. (President); Ziegler, Ronald L.;","On May 1, 1973, President Richard M. Nixon and Ronald L. Ziegler talked on the telephone from 11:35 pm to 11:36 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-126 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-127,45,127,37-wht-conversation-045-127,1973-05-01T23:36:00-04:00,1973-05-01T23:38:00-04:00,1-May-1973,11:36 PM,1-May-1973,11:38 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 1, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 11:36 pm and 11:38 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-127 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-128,45,128,37-wht-conversation-045-128,1973-05-01T23:38:00-04:00,1973-05-01T23:40:00-04:00,1-May-1973,11:38 PM,1-May-1973,11:40 PM,certain,certain,"Nixon, Richard M. (President); White House operator; Rogers, William P.;","On May 1, 1973, President Richard M. Nixon, White House operator, and William P. Rogers talked on the telephone from 11:38 pm to 11:40 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-128 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 1; Segment 2,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-129,45,129,37-wht-conversation-045-129,1973-05-01T23:40:00-04:00,1973-05-01T23:42:00-04:00,1-May-1973,11:40 PM,1-May-1973,11:42 PM,certain,certain,"Nixon, Richard M. (President); Timmons, William E.;","On May 1, 1973, President Richard M. Nixon and William E. Timmons talked on the telephone from 11:40 pm to 11:42 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-129 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-130,45,130,37-wht-conversation-045-130,1973-05-01T23:50:00-04:00,1973-05-01T23:52:00-04:00,1-May-1973,11:50 PM,1-May-1973,11:52 PM,certain,certain,"Kissinger, Henry A.; Nixon, Richard M. (President);","On May 1, 1973, Henry A. Kissinger and President Richard M. Nixon talked on the telephone from 11:50 pm to 11:52 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-130 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-131,45,131,37-wht-conversation-045-131,1973-05-02T09:53:00-04:00,1973-05-02T09:54:00-04:00,2-May-1973,9:53 AM,2-May-1973,9:54 AM,certain,certain,"Connally, John B.; Nixon, Richard M. (President);","On May 2, 1973, John B. Connally and President Richard M. Nixon talked on the telephone from 9:53 am to 9:54 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-131 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-132,45,132,37-wht-conversation-045-132,1973-05-02T09:54:00-04:00,1973-05-02T09:59:00-04:00,2-May-1973,9:54 AM,2-May-1973,9:59 AM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 2, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 9:54 am and 9:59 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-132 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-133,45,133,37-wht-conversation-045-133,1973-05-02T10:02:00-04:00,1973-05-02T10:04:00-04:00,2-May-1973,10:02 AM,2-May-1973,10:04 AM,certain,certain,"Nixon, Richard M. (President); Haldeman, H. R. (""Bob"");","On May 2, 1973, President Richard M. Nixon and H. R. (""Bob"") Haldeman talked on the telephone from 10:02 am to 10:04 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-133 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-134,45,134,37-wht-conversation-045-134,1973-05-02T10:08:00-04:00,1973-05-02T10:14:00-04:00,2-May-1973,10:08 AM,2-May-1973,10:14 AM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 2, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 10:08 am and 10:14 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-134 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-135,45,135,37-wht-conversation-045-135,1973-05-02T10:14:00-04:00,1973-05-02T10:15:00-04:00,2-May-1973,10:14 AM,2-May-1973,10:15 AM,certain,certain,"Nixon, Richard M. (President); Eisenhower, Julie Nixon;","On May 2, 1973, President Richard M. Nixon and Julie Nixon Eisenhower talked on the telephone from 10:14 am to 10:15 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-135 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-136,45,136,37-wht-conversation-045-136,1973-05-02T10:21:00-04:00,1973-05-02T10:24:00-04:00,2-May-1973,10:21 AM,2-May-1973,10:24 AM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 2, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 10:21 am and 10:24 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-136 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-137,45,137,37-wht-conversation-045-137,1973-05-02T10:24:00-04:00,1973-05-02T10:31:00-04:00,2-May-1973,10:24 AM,2-May-1973,10:31 AM,certain,certain,"Nixon, Richard M. (President); Rogers, William P.;","On May 2, 1973, President Richard M. Nixon and William P. Rogers talked on the telephone from 10:24 am to 10:31 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-137 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,Abuse of Governmental Power Release,Segment 0,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-138,45,138,37-wht-conversation-045-138,1973-05-02T10:31:00-04:00,1973-05-02T10:43:00-04:00,2-May-1973,10:31 AM,2-May-1973,10:43 AM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 2, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 10:31 am and 10:43 am. The White House Telephone taping system captured this recording, which is known as Conversation 045-138 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 045-139,45,139,37-wht-conversation-045-139,1973-05-02T12:11:00-04:00,1973-05-02T12:11:00-04:00,2-May-1973,12:11 PM,2-May-1973,12:11 PM,certain,certain,"Nixon, Richard M. (President); White House operator;","On May 2, 1973, President Richard M. Nixon and White House operator talked on the telephone at 12:11 pm. The White House Telephone taping system captured this recording, which is known as Conversation 045-139 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
